Format Version,0.1,,,,,,,,,,,,,,,,,
Headers,l1 l2 l3 l4 l5 l6 l7 l8 SampleTemp Date Prototype Optics CellType Cell Drug Conc Test Folder NPoints,,,,,,,,,,,,,,,,,
Data Types,20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f f s s s s s s s s s s,,,,,,,,,,,,,,,,,
Model Version,4,,,,,,,,,,,,,,,,,
Interpolator,poly,,,,,,,,,,,,,,,,,
Model Complete,0,,,,,,,,,,,,,,,,,
Date,26/03/2018 13:32,,,,,,,,,,,,,,,,,
Enclosing Folder,G:\Team Drives\Data\Veriphi\2018\3. March\Helium\Pane Matching (Thick Set),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
l1,l2,l3,l4,l5,l6,l7,l8,SampleTemp,Date,Prototype,Optics,CellType,Cell,Drug,Conc,Test,Folder,NPoints
0.190388067,0.831827616,3.086036178,1.208797291,0.639044999,0.620226184,0.75876978,1.120507057,21.176344,180321-1203 Saline Elite-2-2 14,Helium,,Elite-2,2,Saline,9,14,,0
0.19044753,0.831912802,3.103586353,1.208717528,0.639012389,0.62021761,0.758782441,1.120669968,21.177347,180321-1203 Saline Elite-2-2 15,Helium,,Elite-2,2,Saline,9,15,,0
0.190019732,0.830697928,3.089255948,1.207603687,0.637692596,0.618763878,0.75674083,1.118617689,21.172695,180321-1518 Saline Elite-3-2 1,Helium,,Elite-3,2,Saline,9,1,,0
0.190019938,0.830692658,3.092541226,1.207614553,0.637740844,0.618811086,0.756773928,1.118400436,21.176603,180321-1519 Saline Elite-3-2 2,Helium,,Elite-3,2,Saline,9,2,,0
0.190183281,0.830865634,3.09359936,1.2076043,0.637770923,0.618861919,0.756853881,1.118280094,21.176069,180321-1520 Saline Elite-3-2 3,Helium,,Elite-3,2,Saline,9,3,,0
0.190127468,0.830983385,3.088847367,1.207600346,0.637779608,0.618852788,0.756777895,1.118418702,21.1782,180321-1520 Saline Elite-3-2 4,Helium,,Elite-3,2,Saline,9,4,,0
0.190107268,0.831019897,3.08866155,1.207616996,0.637768708,0.618884599,0.756773661,1.118301936,21.178376,180321-1521 Saline Elite-3-2 5,Helium,,Elite-3,2,Saline,9,5,,0
0.190253922,0.831079312,3.095604415,1.207625873,0.637808229,0.618865832,0.756835761,1.118470493,21.179889,180321-1522 Saline Elite-3-2 6,Helium,,Elite-3,2,Saline,9,6,,0
0.19013448,0.830871222,3.091121165,1.207610745,0.637799711,0.618872403,0.756805313,1.118299549,21.180504,180321-1523 Saline Elite-3-2 7,Helium,,Elite-3,2,Saline,9,7,,0
0.190149148,0.831203317,3.089720839,1.207611337,0.637772043,0.618894863,0.756775741,1.118352882,21.180465,180321-1524 Saline Elite-3-2 8,Helium,,Elite-3,2,Saline,9,8,,0
0.190225018,0.83098513,3.094981351,1.207560779,0.637826269,0.618896715,0.756878774,1.118668539,21.180578,180321-1524 Saline Elite-3-2 9,Helium,,Elite-3,2,Saline,9,9,,0
0.190227128,0.830986946,3.093072234,1.207569869,0.637802859,0.618932954,0.75686679,1.118420025,21.180422,180321-1525 Saline Elite-3-2 10,Helium,,Elite-3,2,Saline,9,10,,0
0.190212199,0.830920443,3.097588338,1.207601274,0.637804043,0.618900629,0.756693752,1.118178875,21.180313,180321-1526 Saline Elite-3-2 11,Helium,,Elite-3,2,Saline,9,11,,0
0.190206764,0.830935651,3.095060774,1.207593969,0.637809764,0.618881063,0.75684963,1.118514075,21.179214,180321-1527 Saline Elite-3-2 12,Helium,,Elite-3,2,Saline,9,12,,0
0.190239999,0.831020074,3.095199796,1.207634171,0.637816645,0.618919014,0.756868006,1.118666193,21.178503,180321-1527 Saline Elite-3-2 13,Helium,,Elite-3,2,Saline,9,13,,0
0.190169355,0.831195094,3.092217775,1.207617303,0.637815276,0.618895486,0.756871284,1.118111149,21.17947,180321-1528 Saline Elite-3-2 14,Helium,,Elite-3,2,Saline,9,14,,0
0.190181556,0.831263064,3.091710349,1.207602353,0.637833088,0.618923287,0.756829846,1.11833284,21.178365,180321-1529 Saline Elite-3-2 15,Helium,,Elite-3,2,Saline,9,15,,0
