Format Version,0.1
Headers,l1 l2 l3 l4 l5 l6 l7 l8 SampleTemp Date Prototype Optics CellType Cell Drug Conc Test Folder NPoints
Data Types,20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f f s s s s s s s s s s
Model Version,4
Interpolator,poly
Model Complete,0
Date,06-Apr-2018 15:31:01
Enclosing Folder,"G:\Team Drives\Data\Veriphi\2018\4. April\Helium\Pane Matching (Thin Set)"

l1,l2,l3,l4,l5,l6,l7,l8,SampleTemp,Date,Prototype,Optics,CellType,Cell,Drug,Conc,Test,Folder,NPoints
0.193300885613625990,0.848483475383762010,3.147376294529459900,1.226837502167960100,0.647608244995062980,0.628504825404669010,0.769107741761371980,1.138576686706199900,21.376270,180405-1048 Saline Elite-21-2 1,Helium,,Elite-21,2,Saline,9,1,,0
0.193142803989128000,0.848375943665120040,3.143595864204979900,1.226932869719520100,0.647643388844467040,0.628443978209212050,0.769171331259197010,1.138081981193509900,21.365004,180405-1049 Saline Elite-21-2 2,Helium,,Elite-21,2,Saline,9,2,,0
0.193207802677266010,0.848326214452662990,3.144766546759509800,1.227063158586470000,0.647736440865422040,0.628483174691393030,0.769235956529338960,1.137954489380590000,21.350534,180405-1050 Saline Elite-21-2 3,Helium,,Elite-21,2,Saline,9,3,,0
0.193220878612065990,0.848258502099617950,3.141803360810489800,1.227105866395130000,0.647769744868840980,0.628549048584614020,0.769180394409416990,1.137996459109780000,21.336927,180405-1050 Saline Elite-21-2 4,Helium,,Elite-21,2,Saline,9,4,,0
0.193212134906293990,0.848298033331247980,3.138604014263730100,1.227173011136280000,0.647834269756327960,0.628504779862764980,0.769300322993777040,1.137714579125410000,21.327297,180405-1051 Saline Elite-21-2 5,Helium,,Elite-21,2,Saline,9,5,,0
0.193275637816693990,0.848266359024665960,3.136829137714050000,1.227268812145260000,0.647829728495274980,0.628639059232562030,0.769277481247353960,1.137929516078890000,21.316466,180405-1052 Saline Elite-21-2 6,Helium,,Elite-21,2,Saline,9,6,,0
0.193245628769954990,0.848236901782743020,3.138503283740770000,1.227319842357629900,0.647899199050000040,0.628654192263255030,0.769226243311783020,1.137859818813200100,21.308328,180405-1053 Saline Elite-21-2 7,Helium,,Elite-21,2,Saline,9,7,,0
0.193318433413515010,0.848239401295788010,3.134324890688799900,1.227414511800110100,0.647947746136466000,0.628712344092811960,0.769337423302797970,1.138081282849799900,21.300391,180405-1054 Saline Elite-21-2 8,Helium,,Elite-21,2,Saline,9,8,,0
0.193304867032135010,0.848046310405612960,3.129368774239840200,1.227457594760210000,0.647947671133792040,0.628742929615318970,0.769333283292502950,1.137936131039990000,21.291172,180405-1054 Saline Elite-21-2 9,Helium,,Elite-21,2,Saline,9,9,,0
0.193319962042413000,0.848142547411081970,3.145423284028550100,1.227564620818030000,0.648005974081871990,0.628771928698372950,0.769271365818028020,1.137826113529960100,21.282833,180405-1055 Saline Elite-21-2 10,Helium,,Elite-21,2,Saline,9,10,,0
0.193269283435667990,0.848019901664590960,3.139348974307030200,1.227586411544640000,0.648032952864667000,0.628771803969983000,0.769242335855509050,1.137779005596069900,21.275148,180405-1056 Saline Elite-21-2 11,Helium,,Elite-21,2,Saline,9,11,,0
0.193284225087171000,0.848034302825473980,3.134395514768149900,1.227720980015170000,0.648053552506388960,0.628859332866581020,0.769263969078900050,1.137670098234669900,21.266591,180405-1057 Saline Elite-21-2 12,Helium,,Elite-21,2,Saline,9,12,,0
0.193268028737126010,0.847948140976400030,3.147990691060219800,1.227763354877540000,0.648084523525471970,0.628867432173223050,0.769317513736823000,1.137686878464359900,21.258241,180405-1057 Saline Elite-21-2 13,Helium,,Elite-21,2,Saline,9,13,,0
0.193297949685410000,0.847985477244294960,3.144914900108939800,1.227776302144730100,0.648118482401729980,0.628900053295590960,0.769281833619589020,1.137846136601030000,21.249784,180405-1058 Saline Elite-21-2 14,Helium,,Elite-21,2,Saline,9,14,,0
0.193323048108526990,0.847861931026661960,3.136741612215680200,1.227848194078780000,0.648141047052601000,0.628920955424847050,0.769320628685667970,1.137534674428370100,21.241378,180405-1059 Saline Elite-21-2 15,Helium,,Elite-21,2,Saline,9,15,,0
0.193248496604867010,0.847603757612079960,3.142736005852360100,1.228021078599079900,0.648126376044939940,0.628916515268381990,0.769180380880151950,1.137810117650640100,21.254954,180405-1102 Saline Elite-22-2 1,Helium,,Elite-22,2,Saline,9,1,,0
0.193510657941836000,0.847703043289509960,3.142433900353229800,1.228258860032259900,0.648344251139851950,0.629103315801492040,0.769501766466639040,1.137881721739640000,21.240171,180405-1103 Saline Elite-22-2 2,Helium,,Elite-22,2,Saline,9,2,,0
0.193314793756200000,0.847703372205538040,3.141029648769770000,1.228159994097739900,0.648280090325254020,0.628996068299239040,0.769547484124566970,1.137725717177880100,21.226770,180405-1104 Saline Elite-22-2 3,Helium,,Elite-22,2,Saline,9,3,,0
0.193350460251222990,0.847694418771341000,3.149363979590329900,1.228283347575279900,0.648337297599810960,0.629079836730939030,0.769615494972810010,1.137631482591950000,21.213299,180405-1104 Saline Elite-22-2 4,Helium,,Elite-22,2,Saline,9,4,,0
0.194005996336193000,0.848331340168672950,3.147403845816580100,1.229054603097740100,0.649058948994984950,0.629807453306328040,0.770302719636378970,1.138199094337980100,21.201455,180405-1105 Saline Elite-22-2 5,Helium,,Elite-22,2,Saline,9,5,,0
